user_id,user_screen_name,indegree,outdegree,bad_user_id
117896874,Marielkys_26,129,164,99441834
31167468,PaauCastillo,404,548,92946359
180890163,andrevegas,2,10,66431210
44480530,MariiaAndreiina,338,617,97960001
129272607,Vero__JB,31,47,110761909
93071352,ItsClauGarciaJB,1306,1304,141745942
170896892,TheJonasGames,1478,1837,139303229
171163265,gagabautista,43,156,139477491
175399951,FactsDisneyStar,1223,1539,142468182
22433805,vckiis,291,333,99464023
145444909,SmileforBeadles,1870,687,153947989
75904770,LetYourLoveOut,619,955,8564403
62677325,ValenCCoronado,171,148,147822118
85414837,Kathe_Ross,563,286,110534843
123034611,MariGabbriela,728,868,148806677
110247084,Chiaralv,245,197,93985321
134515336,kenyerlys4,108,129,110694468
22382749,Mmarielicious,171,101,11733470
69995984,GiniSantana,6619,5958,91032792
84952430,Yariannys,588,471,77284428
64501575,andreisgon,1099,1166,34244198
116585754,KarluPereira,412,396,98654324
99559116,Damperius,16,118,87268441
97528653,ItsLeonela,3526,2507,105589644
133459981,HeyItsMaryelin,1218,1802,141999117
27346595,Mary_Vicky08,570,720,154499836
120776263,YaneryJBCordero,378,714,154380670
105209740,mariiih_xD,106,188,92803538
82439523,itsCindyAlee,1648,1524,138141778
29063589,rashel_frsw,150,335,10135694
194231199,lauferrerb,63,232,154424960
111769020,aleaaraujoo,1843,1197,95156625
66747653,JessiePrincss4,313,517,102797463
192741961,TodoPorBieber,1212,1076,142911460
177397773,EsAlgoDeBeliebs,1169,1150,143557831
118197188,WonderfulDylanS,917,692,143364958
39996173,Danessa11,1027,376,17042259
97484837,KatiiAlfz,33,50,153989559
40715562,andrehh13,708,696,53834835
129091312,diana2598,462,463,127499426
134244974,DianaRdriguezz,55,104,141192341
102596524,Belen__Jonas,227,267,89189511
96818909,Andre_Valentina,98,315,85750728
120883459,Babeandoxpaugto,383,704,130684300
29874870,Lessli,692,721,10811759
72448858,Pau_Gutierrez,29,57,60391938
161506637,JeanniiJBieber,1292,1618,143365797
137691372,itsNanyPayares,564,400,142975146
43740739,riteofspirit,581,503,144578835
155378418,veeromarin,139,167,125458472
64277192,SaamyyG,250,506,148021354
155735582,JBieeberLand,1245,1299,125724088
193479725,TwitHechos,244,15,153404228
55940308,Denyses94,199,442,149894987
91371960,daniielavivas,134,546,135770521
94678486,Shawty__Bieber,2629,2731,109329103
193983658,MundoCodyS,130,122,154077424
65448813,HeyArle,454,536,60535681
64591254,gilneyabreu,279,222,50890617
